User,Rating,Date,ISO_Date,Review,Review_Length,Response
Afriana Ajeng Nur Latifah,4.0,3 tahun lalu,2022-03-31T04:43:10Z,"Secara tempat bersih, ada parkir yang cukup luas tapi juga ramai pengunjung. Ada tempat duduk tapi sangat terbatas. Jika mau makan, mending gofood atau grabfoodd daripada menghabiskan waktu menunggu. Kemarin weekday pergi kesana, dateng langsung disaranin take away aja, lalu dikasih nomor antrian. Sembari menunggu nomor antrian dipanggil ada tempat duduk. 30 menitan kemudian nomor antrian dipanggil. Kami harus berbaris untuk memilih menu dan langsung bayar. Setelah itu menunggu lagi hampir satu jam untuk makanan. Capek nunggu, mending gofood. Kalau rasa tergantung selera.",578,
ujang junaedi,5.0,3 minggu lalu,2025-06-25T11:20:37Z,"Suasana dalam hal ini musik, musik yang perlu disesuaikan dengan vibe di setiabudi atau market dominan (misal; market dominan mahasiswa/i maka perlu disesuaikan, vibe setiabudi di siang, sore, malam tentu tidak sama, ini juga perlu disesuaikan) demi kenyamanan pelanggan saat beraktivitas di gacoan setiabudi",308,
james malau,2.0,4 tahun lalu,2021-05-09T13:01:05Z,"Parkir motor lumayan luas, tapi gada parkiran mobil, jadi harus parkir di pinggir jalan. Tempatnya keren, bagus buat sekedar nongkrong sama temen2. Ngantri pesen makanannya lama banget sampe 30 menit berdiri ngantri, udah gitu nunggu pesenan datang nyampe 45 menit lamanya.. tampilan makanan sama minumannya bagus, tapi pas dimakan rasa mi nya ga terlalu enak, teksturnya lengket2 di gigi, kaya mi setengah matang , mi nya ga rekomended, tpi minumannya enak. Siomainya lumayan rasanya. Harganya terjangkau.",506,
fadia nabila,5.0,sebulan lalu,2025-05-28T07:20:12Z,"deket banget dari kampus dan selalu enak, tempatnya juga enak buat ngumpul sama temen temen. dan udang keju nya paling rekomen, makasih juga buat ka naila best🫰🏻",161,
Wawah Sri,5.0,2 tahun lalu,2023-05-29T05:05:36Z,"Dateng pesen mie hompimpa, udang keju, siomay, es teklek, sama es teh. Semuanya enak, kondisi hangat, fresh. Pelayanannya cepat, staffnya ramah, tempatnya juga bersih, nyaman dan luas. Toilet bersih. Posisi gerai juga strategis dekat kampus UPI dan UNPAS. Buat yang mau bawa pulang juga pelayanannya cepat. Untuk yang mau menunggu juga disediakan space buat duduk. Parkir kurang luas, mobil parkir pinggir jalan. Untuk motor tarif parkir 2k. Overall mantapp deh pelayanannya, bakal langganan kalau lagi main di UPI.",515,
Anisa Apriyani,5.0,3 tahun lalu,2022-06-01T13:03:58Z,"Tempatnya enak buat makan bareng temen-temen dan keluarga . Untuk mie nya enak dan buat yang gak pedes juga ada menu mie nya yg gak pedesnya . Selain itu ada menu lainnya seperti pangsit , dimsum. Untuk harganya terjangkau , mie di kisaran 15k , minum dan menu yg lainnya di kisaran 10k . Untuk tempat parkirnya luas , hanya musholanya kecil dan kurang nyaman . Terus waktu itu masih ada buka tutup untuk yg dine in , jadi antri banget dan harus ekstra sabar . Tapi so far worth to buy , gak kapok buat balik lagi kesana 👍🏻",523,
FITRI INDRIYANTI,5.0,setahun lalu,2023-11-05T10:27:08Z,"Rekomendasi untuk kalian yang lagi main² di daerah jl.Setiabudi buat mampir cobain Mie Gacoan ini.
Selain harganya sangat ramah dikantong, rasanya juga enak, apalagi dengan harga 10k itu udh dapat pangsit 2 isi ayam cincang. Untuk tempat juga nyaman.

But dari segi penyajiannya aja sih cukup lama, padahal datang kesana pas awal banget buka & yang pesan baru beberapa.  Jadi kalau posisinya lapar banget, usahakan buat bawa camilan pengganjal perut wkwk.",455,
Surya Azhari,5.0,2 tahun lalu,2022-10-19T16:55:56Z,"Datang di hari Rabu jam 10 pagi.

parkirannya masih oke untuk motor gatau dah kalo mobil 😅 tempatnya masih agak sepi untuk tempat yang luas banget dan banyak meja kursi. mushola dan toilet oke. bisa smoking juga soalnya tempatnya semi outdoor. pelayanannya juga cepat dan tanggap. kebiasaan overload consumen jadi gercep 😅

rasa makanannya sama kaya di cabang lain. mungkin sudah SOPnya.

harganya udah pada tau lah ya 😇",420,
kimi kimi,1.0,3 bulan lalu,2025-04-05T19:31:52Z,"tolong dong ajarin crewnya buat sabar ngadepin customer, tgl 5 jam 2 beli buat dine in, ngeliat cowo aku abis ambil makanan dan emg posisi aku lagi buru', (cewe yg nge pick up makanan) ngeliatin ke cowo aku smbil ngomong pake muka judes smbil pindah tempat. (sebelumnya alat yg bunyi  itu disimpen dinampan yg mau cowo aku bawa ke meja sambil dia ninggalin, smpe hrs dipindahin dlu, hrsnyakan sm mereka dibawa). ga nyaman, sampe makan bt aja ga abiss bgtt!! tolong buat crew yg tdi klo mau ngomel jgn depan custnya.",515,
Upar Suparta,4.0,setahun lalu,2023-09-14T05:27:44Z,"Makanannya cukup enak dan terbilang murah. Sekadar untuk makan ringan dan santai sangat cocok, apalagi penyuka mie pedas kayanya bakal cocok. Walaupun jangan berekspektasi banyak. Karena tiap orang beda tipe makanan.

Yang suka udang-udangan recomend untuk nyobain.",265,
X Ranz,4.0,sebulan lalu,2025-06-03T14:52:01Z,"gacoan taste it's good, and I think all franchise at bandung it's really fine with the taste.. and I really appreciate that.
n for the atriannya sih gile bgt wkwk, rispek buat mas n mbanya yg bisa sabar ngadepin banyaknya pelanggang itu..",238,
Dea Amelya Putri,5.0,3 bulan lalu,2025-03-31T12:10:02Z,"tempatnya nyaman, pelayanan bagus, dan suka bangett sama lumpia udangnya",72,
Febby Wanda Alrianty,5.0,3 tahun lalu,2022-03-20T15:24:46Z,"Good food, good price, good service, tapi antrinya gila banget sih.. Sudah dari cabang Dipati Ukur dan Pasir Kaliki ditolak untuk dine-in, cabang Setiabudhi sekitar 3 jam sampai bisa menikmati hidangan. Sering kemari dari awal ada gacoan problem masih sama, yaitu kasir yang hanya satu untuk pengunjung yang dine-in, take away dan ojol. Biasanya take away atau jastip tapi tapi pertama kali makan di tempat dan effort banget berdiri lama di cuaca panas. Beruntung ada staff yang mau bantu kasih info jadi ga pulang dengan tangan hampa. Saya pesan mie angel, mie iblis level 1 yang mana cukup pedas untuk saya yang bukan penggila cabai, vanilla latte cukup oke seperti kopi susu sachet (saya suka juga sih), es tuyulnya segar, udang kejunya lumer, udang rambutan serta lumpia udangnya sangat juicy dan jauh lebih enak karena fresh from the kitchen jadi masih panas. Saya bungkus lagi beberapa menu. Untuk harga yang sangat affordable, the food is worth to try tapi jika malas antri lebih baik via ojol/titip teman atau buat sendiri di rumah contek resep dari YouTube.",1066,
setiadi salimpus,1.0,sebulan lalu,2025-06-10T11:01:49Z,saya udah jauh jauh makan dine in disini lama menunggu orderan malah orderan yang baru dateng yang di duluin buat mas yang tadi ngecek orderan nya lain kali lebih teliti lagi ngecek nomor orderan nya jadi orderan saya lama dan yang dateng mie dan dimsum nya udah dingin dan minuman pun es nya sudah mencair sangat kecewa,320,
Saffana Fadila,5.0,4 tahun lalu,2021-04-09T06:13:06Z,"Makanan di gacoan bandung semua enak, dan harganya juga pas untuk mahasiswi seperti saya, favorit saya mie iblis udang keju dan es tuyul, pelayanannya juga cepat dan crew""nya ramah ramah, semoga semakin sukses untuk gacoan 👍",224,
Adinda Nur Inayah,5.0,3 bulan lalu,2025-04-14T09:17:47Z,"Biasanya order online, sesekali pengen dine in, tapi ternyata penuh sangaat karna masih dalam rentang waktu buka puasa (datang setelah isya), akhirnya take away aja.

Semurah itu dengan rasa yg enak. Cuma kadang bingung sama lv pedesnya, pesen mie gacoan lv 1 sama lv 2 berasa sama pedesnya. Anak-anak suka mie suit, pangsit goreng, dan udang rambutannya.

Mungkin lain waktu pengen bener2 coba dine in.",403,
Khansa Asbinsa Tarunaningtyas,5.0,2 tahun lalu,2022-11-26T02:36:40Z,"Omg its so yummy!! honestly dari dulu belum cobain mie gacoan samsek, dan lagi niat cobain di bandung eh lah kok enak hihi dan kagetnya lagi mie iblis (10k) sama udang kejunya(9k) harganya murah meriah bgt tapi kok bisa enak gitu ya :)) btw buat suasanya asri banget rapi terus bersih aku sih suka yg outdoornya.. pelayanannya juga ramah kok kakaknya langsung bersihin meja yg mau kita pake terus anehnya kalo disini makanannya dulu yang dateng baru minumnya wkwk unik 🙃 overall okay aku recommended.",500,
Raisa Gorbachev,3.0,Diedit 4 tahun lalu,2021-03-21T11:30:33Z,"Antri lama dan nunggu makanan juga masih lama, tdk ada protokol kesehatan. Waktu pertama beli di grabfood tgl 15 maret porsinya banyak dan level 6 cabenya pedes bangeeet, waktu dateng ke tempat kok porsi sedikit dan gak pedes sm sekali. Yang bikin antri lama itu kasirnya cuman ada satu dan disatuin take away sm dine in. kalo tempat cukup luas dan makanan dimsumnya enak.",372,
Nazwa Aulia,1.0,sebulan lalu,2025-05-28T16:35:14Z,"BARU DUDUK udh di tegur klo gabisa lama lama soalnya area belakang bakal ditutup. Puncaknya adalah ketika ada KECOAK naik naik meja, kita minta tolong buat diusirin jawabannya ""udh gaada kok teh, udah pergi"" maksudnya????? apa ya kak?????? minimal dicari biar kecoaknya ga naik meja lagi. huft.",294,
Yanti Mega Nurzihan,5.0,sebulan lalu,2025-06-13T13:00:35Z,selalu enakk apalagi udang kejunyaa🤩🤩,37,
diah armiyani,5.0,2 tahun lalu,2022-11-18T10:11:10Z,"Kurangnya cuma petugas pembersih fasilitas umum seperti toilet dan tempat sholat yg terasa kurang nyaman krn digunakan banyak orang kan, kalo ga disediakan petugas khusus pembersihan akan membuat kotor dan krg nyaman bagi pengunjung. Selebihnya semua oke, saya suka dengan menu dan suasananya. Dan harganya wow ,tidak mengurangi rasa sedikitpun.",345,
Reza Fachriza,5.0,4 tahun lalu,2021-04-06T05:55:19Z,"Heran harga murah tapi kualitasnya bisa mantep gini wkwk enakk mie nya dengan harga segini. Sebagai orang Bandung Asli saya heran dan takjub dengan harga sama kualitasnya yang mantap

Ohiya kalau bisa datengnya jgn pas jam makan siang atau bubaran karena PENUH BANGETT butuh kesabaran ngantrinya. Dateng pas baru buka aja biar msh sepi hehe

Saran aja ya ga penting2 amat sih, Sumpit untuk mienya kalo bisa dari bahan yang bisa dicuci aja daripada kayu, sama halnya juga untuk tempat saos kecil yg dri plastik.",510,
Dinda Nuradriani,4.0,3 tahun lalu,2021-11-06T10:42:31Z,"Sebenernya pengen ngasih bintang 5 tapi menurutku ini ""pantes hype"" karena dia memang murah aja, rasa enak (untuk harganya) dan mereka punya tempat makan yang memang nyaman. Dimana coba makan dengan menu2 yang ngga lebih dari 10rb tapi dikasih tempat senyaman ini? :)
Tapi kalo mau dikasih nilai secara objektif sih buat rasa menurutku sama aja kaya mi yamin pada umumnya, entah kebetulan ato memang biasa kaya pesenanku hari ini, tekstur mi menurutku blm mateng bener (masih kurang kenyal, kaya kalo kita masak mi instan itu 1/2 mateng) sayang bgt sih, krn kebetulan aku dateng itu masih pagi bgt dan sepi tapi masakan udh di serve dg tingkat kematangan yg kesannya ky dimasak terburu2. Es Genduruwo yang katanya andalan mereka pun aku rasa biasa aja, cendrung terlalu dominan airnya utk minuman yang sebenernya mirip sop buah, (masih ada yg lbh enak dg harga yang sama murahnya).
Ga bisa nuntut macem2 sih sebenernya, lagi2 karena dg harga segitu dan tempat yang cukup nyaman, emang Mie Gacoan terbaik di kelasnya :)
Tips nih buat yg baru mau coba, jgn terprovokasi sm review2 d google org blg enak bgt mie iblis level di atas 5. Krn aku pesen level 3 pun udh pedes bgt haha. Jd buat yang doyan pedes tp kadar normal mending pesen level 1 ato 2 aja biar tetep nikmat makannya :)",1280,
Rafika Kenko,5.0,seminggu lalu,2025-07-04T08:44:47Z,"Tempatnya luas dan nyaman
Makanannya lumayan banyak dan enak
Pelayanan nya ramah dan cepat:)",92,
ᮏᮤᮠᮃᮔ᮪,5.0,2 tahun lalu,2022-09-25T14:31:39Z,"Tempatnya luas ada 2 lantai outdoor & semi outdoor, jujur mienya bagi aku standar aja, tp udang keju & siomaynya enak bgtttttt 9.5/10😍🤤 sayang pelayanan dine in itu lama tp gapapaa👍🏻
Ada tempat sholat meski tempat wudhunya agak jauh lewat org² yg makan mungkin bisa d perbaharui👍🏻",280,
