User,Rating,Date,ISO_Date,Review,Review_Length,Response
Dewi Kusrini,5.0,2 tahun lalu,2022-11-09T05:26:32Z,"Kali pertama :
Murah, enak.
Kalaulah ada menu sup/sayurannya bisa lebih sip biar ga seret.
Tempatnya ok bgt bisa santai dan ternyata dalemnya luass muat banyak.

Kali kedua :
Coba ajak Aa Jepang:) berdua makan minum cuma 60ribuan. Cocok buat anak sekolahan or kuliahan yg sekali-kali pengen nongkrong:)
Si Aa Jepang bilang sih enak semua, dia pesen mie angel, thai tea, dimsum ayam ma apa ya yg ada keju-kejunya.
Untuk level pedes, yg ga kuat pilih maksimal di level 2 aja ya, level 3 kepedasan:)",496,
khaerunnisa ayunin,5.0,setahun lalu,2023-08-21T04:45:27Z,"Makan mie pedas yang viral di bandung, dekat dengan berbagai kampus yang nyaman untuk nongkrong, buka sampai jam 11. Malam jg pilihan makanannya beragam dengan pedas ber level. Minuman juga banyak yg seger2",206,
Debi Zahirah,5.0,3 tahun lalu,2022-04-09T10:04:57Z,"Tempat sangat luas dan nyaman, pelayanan juga sepertinya cepat. Tapi karena saya datang untuk berbuka saya minta untuk dihidangkan saat mendekati buka, dan tepat waktu tibanya.

Untuk dimsumnya semua cukup enak, minuman juga, mie angelnya cukup hanya kurang asin saja.. harga sangat terjangkau👌 rekomendasi untuk yang ingin makan bareng temen dengan makanan ringan",364,
Afriana Ajeng Nur Latifah,4.0,3 tahun lalu,2022-03-31T04:43:10Z,"Secara tempat bersih, ada parkir yang cukup luas tapi juga ramai pengunjung. Ada tempat duduk tapi sangat terbatas. Jika mau makan, mending gofood atau grabfoodd daripada menghabiskan waktu menunggu. Kemarin weekday pergi kesana, dateng langsung disaranin take away aja, lalu dikasih nomor antrian. Sembari menunggu nomor antrian dipanggil ada tempat duduk. 30 menitan kemudian nomor antrian dipanggil. Kami harus berbaris untuk memilih menu dan langsung bayar. Setelah itu menunggu lagi hampir satu jam untuk makanan. Capek nunggu, mending gofood. Kalau rasa tergantung selera.",578,
james malau,2.0,4 tahun lalu,2021-05-09T13:01:05Z,"Parkir motor lumayan luas, tapi gada parkiran mobil, jadi harus parkir di pinggir jalan. Tempatnya keren, bagus buat sekedar nongkrong sama temen2. Ngantri pesen makanannya lama banget sampe 30 menit berdiri ngantri, udah gitu nunggu pesenan datang nyampe 45 menit lamanya.. tampilan makanan sama minumannya bagus, tapi pas dimakan rasa mi nya ga terlalu enak, teksturnya lengket2 di gigi, kaya mi setengah matang , mi nya ga rekomended, tpi minumannya enak. Siomainya lumayan rasanya. Harganya terjangkau.",506,
Wawah Sri,5.0,2 tahun lalu,2023-05-29T05:05:36Z,"Dateng pesen mie hompimpa, udang keju, siomay, es teklek, sama es teh. Semuanya enak, kondisi hangat, fresh. Pelayanannya cepat, staffnya ramah, tempatnya juga bersih, nyaman dan luas. Toilet bersih. Posisi gerai juga strategis dekat kampus UPI dan UNPAS. Buat yang mau bawa pulang juga pelayanannya cepat. Untuk yang mau menunggu juga disediakan space buat duduk. Parkir kurang luas, mobil parkir pinggir jalan. Untuk motor tarif parkir 2k. Overall mantapp deh pelayanannya, bakal langganan kalau lagi main di UPI.",515,
Dapis sam,1.0,sebulan lalu,2025-04-27T15:07:10Z,"pegawai kasir dll kerjanya bagus. tapi tukang parkirnya bikin kapok kesana lagi wkwk, kerjaan tukang parkirnya diem doang, giliran di kasi 2rb malah minta lagi karna kurang.",173,
Anisa Apriyani,5.0,3 tahun lalu,2022-06-01T13:03:58Z,"Tempatnya enak buat makan bareng temen-temen dan keluarga . Untuk mie nya enak dan buat yang gak pedes juga ada menu mie nya yg gak pedesnya . Selain itu ada menu lainnya seperti pangsit , dimsum. Untuk harganya terjangkau , mie di kisaran 15k , minum dan menu yg lainnya di kisaran 10k . Untuk tempat parkirnya luas , hanya musholanya kecil dan kurang nyaman . Terus waktu itu masih ada buka tutup untuk yg dine in , jadi antri banget dan harus ekstra sabar . Tapi so far worth to buy , gak kapok buat balik lagi kesana 👍🏻",523,
FITRI INDRIYANTI,5.0,setahun lalu,2023-11-05T10:27:08Z,"Rekomendasi untuk kalian yang lagi main² di daerah jl.Setiabudi buat mampir cobain Mie Gacoan ini.
Selain harganya sangat ramah dikantong, rasanya juga enak, apalagi dengan harga 10k itu udh dapat pangsit 2 isi ayam cincang. Untuk tempat juga nyaman.

But dari segi penyajiannya aja sih cukup lama, padahal datang kesana pas awal banget buka & yang pesan baru beberapa.  Jadi kalau posisinya lapar banget, usahakan buat bawa camilan pengganjal perut wkwk.",455,
Surya Azhari,5.0,2 tahun lalu,2022-10-19T16:55:56Z,"Datang di hari Rabu jam 10 pagi.

parkirannya masih oke untuk motor gatau dah kalo mobil 😅 tempatnya masih agak sepi untuk tempat yang luas banget dan banyak meja kursi. mushola dan toilet oke. bisa smoking juga soalnya tempatnya semi outdoor. pelayanannya juga cepat dan tanggap. kebiasaan overload consumen jadi gercep 😅

rasa makanannya sama kaya di cabang lain. mungkin sudah SOPnya.

harganya udah pada tau lah ya 😇",420,
kimi kimi,1.0,2 bulan lalu,2025-04-05T19:31:52Z,"tolong dong ajarin crewnya buat sabar ngadepin customer, tgl 5 jam 2 beli buat dine in, ngeliat cowo aku abis ambil makanan dan emg posisi aku lagi buru', (cewe yg nge pick up makanan) ngeliatin ke cowo aku smbil ngomong pake muka judes smbil pindah tempat. (sebelumnya alat yg bunyi  itu disimpen dinampan yg mau cowo aku bawa ke meja sambil dia ninggalin, smpe hrs dipindahin dlu, hrsnyakan sm mereka dibawa). ga nyaman, sampe makan bt aja ga abiss bgtt!! tolong buat crew yg tdi klo mau ngomel jgn depan custnya.",515,
Upar Suparta,4.0,setahun lalu,2023-09-14T05:27:44Z,"Makanannya cukup enak dan terbilang murah. Sekadar untuk makan ringan dan santai sangat cocok, apalagi penyuka mie pedas kayanya bakal cocok. Walaupun jangan berekspektasi banyak. Karena tiap orang beda tipe makanan.

Yang suka udang-udangan recomend untuk nyobain.",265,
Febby Wanda Alrianty,5.0,3 tahun lalu,2022-03-20T15:24:46Z,"Good food, good price, good service, tapi antrinya gila banget sih.. Sudah dari cabang Dipati Ukur dan Pasir Kaliki ditolak untuk dine-in, cabang Setiabudhi sekitar 3 jam sampai bisa menikmati hidangan. Sering kemari dari awal ada gacoan problem masih sama, yaitu kasir yang hanya satu untuk pengunjung yang dine-in, take away dan ojol. Biasanya take away atau jastip tapi tapi pertama kali makan di tempat dan effort banget berdiri lama di cuaca panas. Beruntung ada staff yang mau bantu kasih info jadi ga pulang dengan tangan hampa. Saya pesan mie angel, mie iblis level 1 yang mana cukup pedas untuk saya yang bukan penggila cabai, vanilla latte cukup oke seperti kopi susu sachet (saya suka juga sih), es tuyulnya segar, udang kejunya lumer, udang rambutan serta lumpia udangnya sangat juicy dan jauh lebih enak karena fresh from the kitchen jadi masih panas. Saya bungkus lagi beberapa menu. Untuk harga yang sangat affordable, the food is worth to try tapi jika malas antri lebih baik via ojol/titip teman atau buat sendiri di rumah contek resep dari YouTube.",1066,
Saffana Fadila,5.0,4 tahun lalu,2021-04-09T06:13:06Z,"Makanan di gacoan bandung semua enak, dan harganya juga pas untuk mahasiswi seperti saya, favorit saya mie iblis udang keju dan es tuyul, pelayanannya juga cepat dan crew""nya ramah ramah, semoga semakin sukses untuk gacoan 👍",224,
Khansa Asbinsa Tarunaningtyas,5.0,2 tahun lalu,2022-11-26T02:36:40Z,"Omg its so yummy!! honestly dari dulu belum cobain mie gacoan samsek, dan lagi niat cobain di bandung eh lah kok enak hihi dan kagetnya lagi mie iblis (10k) sama udang kejunya(9k) harganya murah meriah bgt tapi kok bisa enak gitu ya :)) btw buat suasanya asri banget rapi terus bersih aku sih suka yg outdoornya.. pelayanannya juga ramah kok kakaknya langsung bersihin meja yg mau kita pake terus anehnya kalo disini makanannya dulu yang dateng baru minumnya wkwk unik 🙃 overall okay aku recommended.",500,
Raisa Gorbachev,3.0,4 tahun lalu,2021-03-21T11:30:33Z,"Antri lama dan nunggu makanan juga masih lama, tdk ada protokol kesehatan. Waktu pertama beli di grabfood tgl 15 maret porsinya banyak dan level 6 cabenya pedes bangeeet, waktu dateng ke tempat kok porsi sedikit dan gak pedes sm sekali. Yang bikin antri lama itu kasirnya cuman ada satu dan disatuin take away sm dine in. kalo tempat cukup luas dan makanan dimsumnya enak.",372,
Nasywa Salma,5.0,7 bulan lalu,2024-10-17T10:21:16Z,Makanan nya lezat ditambah porsinya banyak dengan harga yang sangat terjangkau plusnya tempatnya juga nyaman dan bersih best dehh pokoknya….👍,141,
diah armiyani,5.0,2 tahun lalu,2022-11-18T10:11:10Z,"Kurangnya cuma petugas pembersih fasilitas umum seperti toilet dan tempat sholat yg terasa kurang nyaman krn digunakan banyak orang kan, kalo ga disediakan petugas khusus pembersihan akan membuat kotor dan krg nyaman bagi pengunjung. Selebihnya semua oke, saya suka dengan menu dan suasananya. Dan harganya wow ,tidak mengurangi rasa sedikitpun.",345,
Reza Fachriza,5.0,4 tahun lalu,2021-04-06T05:55:19Z,"Heran harga murah tapi kualitasnya bisa mantep gini wkwk enakk mie nya dengan harga segini. Sebagai orang Bandung Asli saya heran dan takjub dengan harga sama kualitasnya yang mantap

Ohiya kalau bisa datengnya jgn pas jam makan siang atau bubaran karena PENUH BANGETT butuh kesabaran ngantrinya. Dateng pas baru buka aja biar msh sepi hehe

Saran aja ya ga penting2 amat sih, Sumpit untuk mienya kalo bisa dari bahan yang bisa dicuci aja daripada kayu, sama halnya juga untuk tempat saos kecil yg dri plastik.",510,
